reported_at,created_at,updated_at,channel_customer_name,channel_customer_id,reference_type,status,body,branded_store_slug
,2019-12-30 00:01:46,2019-12-30 14:56:41,Anonimizado LGPD,Anonimizado LGPD,product,closed,não é possível só vai até cinco,olist
,2019-12-30 00:03:02,2019-12-30 10:19:44,Anonimizado LGPD,Anonimizado LGPD,product,closed,O envio seria por qual loja? Corpo perfeito?,olist
,2019-12-30 00:03:03,2019-12-30 11:26:18,Anonimizado LGPD,Anonimizado LGPD,product,closed,Funciona na central ecp max cell 4 gdm?,olist
,2019-12-30 00:04:49,2019-12-30 08:22:56,Anonimizado LGPD,Anonimizado LGPD,product,closed,quanto fica 45 metros?,olist
,2019-12-30 00:05:46,2019-12-30 14:21:20,Anonimizado LGPD,Anonimizado LGPD,product,closed,Olá tem número 18,olist
,2019-12-30 00:08:06,2019-12-30 05:58:47,Anonimizado LGPD,Anonimizado LGPD,product,closed,Serve na xre 15/15 ?,olist
,2019-12-30 00:10:18,2019-12-31 09:46:17,Anonimizado LGPD,Anonimizado LGPD,product,closed,acompanha cabo extensor?,olist
,2019-12-30 00:14:50,2019-12-30 07:48:17,Anonimizado LGPD,Anonimizado LGPD,product,closed,Tem na cor azul,olist
,2019-12-30 00:15:09,2019-12-30 00:36:20,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Boa noite, o cooler funciona através de cabo usb no celular? Qual é o consumo em relação a bateria do telefone?",olist
,2019-12-30 00:15:31,2019-12-30 13:28:41,Anonimizado LGPD,Anonimizado LGPD,product,closed,Tem kit sem a milha ?,olist
,2019-12-30 00:19:17,2019-12-30 14:56:34,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Acabei de comprar seis canecas e pedi película correio,  porém se estiver na cidade de são. Paulo  retiro amanhã",olist
,2019-12-30 00:19:46,2019-12-30 01:14:44,Anonimizado LGPD,Anonimizado LGPD,product,closed,Disponivel,olist
,2019-12-30 00:20:45,2019-12-31 11:39:07,Anonimizado LGPD,Anonimizado LGPD,product,closed,tem branco?,olist
,2019-12-30 00:21:13,2019-12-30 07:39:58,Anonimizado LGPD,Anonimizado LGPD,product,closed,Manda um link obrigado,olist
,2019-12-30 00:21:59,2019-12-30 00:21:59,Anonimizado LGPD,Anonimizado LGPD,product,created,Quanto fica pada o CEP: 35.030-070,olist
,2019-12-30 00:23:02,2019-12-30 15:57:21,Anonimizado LGPD,Anonimizado LGPD,product,closed,Esse é aquele óleo MULTIVISCOSO SAE API-SF que vem nos manuais da Honda?,olist
,2019-12-30 00:30:17,2019-12-30 00:30:17,Anonimizado LGPD,Anonimizado LGPD,product,created,Você emite nota fiscal?,olist
,2019-12-30 00:30:42,2019-12-30 08:11:21,Anonimizado LGPD,Anonimizado LGPD,product,closed,Qual frequência em MHz?,olist
,2019-12-30 00:33:49,2020-01-03 21:27:18,Anonimizado LGPD,Anonimizado LGPD,product,closed,Boa noite! Teria esse modelo com a lente verde no mesmo valor?,olist
,2019-12-30 00:35:23,2019-12-30 13:59:54,Anonimizado LGPD,Anonimizado LGPD,product,closed,Tem branco com cinza?,olist
,2019-12-30 00:38:36,2019-12-30 19:45:17,Anonimizado LGPD,Anonimizado LGPD,product,closed,Tem para mesa de 80cm,olist
,2019-12-30 00:39:05,2019-12-30 10:13:01,Anonimizado LGPD,Anonimizado LGPD,product,closed,Entre o cabo e a coletora é de encaixe? Eu digo existe uma separação? Solta?,olist
,2019-12-30 00:39:05,2019-12-30 00:57:46,Anonimizado LGPD,Anonimizado LGPD,product,closed,Qual a duração da bateria?,olist
,2019-12-30 00:40:51,2019-12-30 08:26:15,Anonimizado LGPD,Anonimizado LGPD,product,closed,Boa noite! Qual a data de validade desse remedio?,olist
,2019-12-30 00:42:37,2019-12-30 00:57:52,Anonimizado LGPD,Anonimizado LGPD,product,closed,Tem o produto em estoque?,olist
,2019-12-30 00:42:58,2020-01-01 20:30:59,Anonimizado LGPD,Anonimizado LGPD,product,closed,Gostaria de saber se vocês tem para tamanho de portA padrão.,olist
,2019-12-30 00:44:15,2019-12-30 00:44:15,Anonimizado LGPD,Anonimizado LGPD,product,created,"Boa noite senhores, qual o valor do envio para o cep 21831505. Obrigada",olist
,2019-12-30 00:48:00,2019-12-30 11:13:26,Anonimizado LGPD,Anonimizado LGPD,product,closed,Compensa são boas ? Da pra revender a quantos cada uma.,olist
,2019-12-30 00:49:54,2019-12-30 09:31:59,Anonimizado LGPD,Anonimizado LGPD,product,closed,Posso colocar no mar?,olist
,2019-12-30 00:50:28,2019-12-30 07:45:47,Anonimizado LGPD,Anonimizado LGPD,product,closed,Onde fica a sua loja? posso comprar pelo mercado livre e retirar?,olist
,2019-12-30 00:51:15,2020-01-08 15:12:43,Anonimizado LGPD,Anonimizado LGPD,product,closed,Boa noite. Tem como usar como emissão Bluetooth na TV??.  Ou seja...Transmitir o som da TV para um Fone Bluetooth ??!,olist
,2019-12-30 00:51:55,2019-12-30 11:12:21,Anonimizado LGPD,Anonimizado LGPD,product,closed,ola amigo nao tem ele a 1500rms 8ohms pra tocar apenas um falante de 8ohms,olist
,2019-12-30 00:52:28,2020-01-03 05:25:12,Anonimizado LGPD,Anonimizado LGPD,product,closed,"O selo de papel resinado é biodegradável?  É possível usar selos de celofane? aguardo, obrigada",olist
,2019-12-30 00:56:35,2019-12-30 09:07:55,Anonimizado LGPD,Anonimizado LGPD,product,closed,Olá. Pq não entregam em Porto Alegre?,olist
,2019-12-30 00:57:36,2019-12-30 09:32:08,Anonimizado LGPD,Anonimizado LGPD,product,closed,Posso colocar no mar?,olist
,2019-12-30 01:00:50,2019-12-30 19:03:24,Anonimizado LGPD,Anonimizado LGPD,product,closed,é primeira linha brasileira ou chinesa? vem conforma foto  funciona o filtro azul,olist
,2019-12-30 01:01:08,2020-01-16 17:45:06,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Bom dia, pronta entrega???",olist
,2019-12-30 01:01:37,2020-01-17 12:06:15,Anonimizado LGPD,Anonimizado LGPD,product,closed,Vcs teriam esse com Windows 10?,olist
,2019-12-30 01:02:51,2019-12-30 11:13:37,Anonimizado LGPD,Anonimizado LGPD,product,closed,A data de fabricação é...?,olist
,2019-12-30 01:04:27,2019-12-30 12:16:37,Anonimizado LGPD,Anonimizado LGPD,product,closed,Boa noite tem dele 220v ? por gentileza obrigado,olist
,2019-12-30 01:04:35,2019-12-30 01:04:35,Anonimizado LGPD,Anonimizado LGPD,product,created,Quanto vc faz 3 para o CEP 72930000.,olist
,2019-12-30 01:06:01,2019-12-30 09:13:54,Anonimizado LGPD,Anonimizado LGPD,product,closed,É original?,olist
,2019-12-30 01:06:24,2019-12-31 13:20:46,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Produto original, lacrado e NF? Obg",olist
,2019-12-30 01:08:01,2019-12-30 01:08:01,Anonimizado LGPD,Anonimizado LGPD,product,created,E.prova.da.agua,olist
,2019-12-30 01:08:16,2019-12-30 01:08:16,Anonimizado LGPD,Anonimizado LGPD,product,created,Tem verde agua?,olist
,2019-12-30 01:09:13,2019-12-30 12:22:17,Anonimizado LGPD,Anonimizado LGPD,product,closed,Boa noite! Produto ainda em estoque?,olist
,2019-12-30 01:09:58,2019-12-30 10:13:16,Anonimizado LGPD,Anonimizado LGPD,product,closed,Nossa senhora o frete é metade do valor do produto!!! Vocês estão onde na China?,olist
,2019-12-30 01:13:56,2019-12-30 07:27:49,Anonimizado LGPD,Anonimizado LGPD,product,closed,Não está específico o que vem se é os de fora e de dentro ou só os de fora,olist
,2019-12-30 01:18:49,2020-01-02 11:10:59,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Meu carro é turbo, rem como instalar esse kit ?",olist
,2019-12-30 01:21:27,2019-12-30 07:28:38,Anonimizado LGPD,Anonimizado LGPD,product,closed,por acaso vc nao tem o outro também em vermelho e cinza?,olist
,2019-12-30 01:23:43,2019-12-30 01:23:43,Anonimizado LGPD,Anonimizado LGPD,product,created,Tem disponível.?,olist
,2019-12-30 01:34:22,2019-12-30 09:55:08,Anonimizado LGPD,Anonimizado LGPD,product,closed,Tem legenda em Português?,olist
,2019-12-30 01:36:18,2019-12-30 14:28:05,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Olá, no caso da biomedicina o pingente vem escrito biomedicina ou química?",olist
,2019-12-30 01:41:38,2019-12-30 01:41:38,Anonimizado LGPD,Anonimizado LGPD,product,created,Tem algum diferença para esse? https://produto.mercadolivre.com.br/MLB-1391380519-relogio-smartwatch-m3-bracelete-inteligente-black-friday-_JM?variation=48121111313,olist
,2019-12-30 01:42:28,2019-12-30 01:42:28,Anonimizado LGPD,Anonimizado LGPD,product,created,É a prova da água?,olist
,2019-12-30 01:45:26,2019-12-30 09:40:04,Anonimizado LGPD,Anonimizado LGPD,product,closed,Boa Tarde Posso Ligar Em Um Sistema 5v?,olist
,2019-12-30 01:56:16,2020-01-01 22:24:00,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Olá, boa noite!, o aparelho aguenta uma máquina de cortar cabelo de 60 HZ?",olist
,2019-12-30 02:05:21,2020-01-02 14:03:00,Anonimizado LGPD,Anonimizado LGPD,product,closed,Voces tem seladora de mão?,olist
,2019-12-30 02:06:02,2019-12-30 08:19:56,Anonimizado LGPD,Anonimizado LGPD,product,closed,Opa! O ktag e o ecm fazem o astra 2011 2.0 8v 140cv Bosch me 7.9.9?,olist
,2019-12-30 02:06:33,2019-12-30 10:35:44,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Vocês tem menos de 90% de aprovação positiva, isto é péssimo, tô fora!",olist
,2019-12-30 02:07:54,2019-12-30 13:08:33,Anonimizado LGPD,Anonimizado LGPD,product,closed,Esse é o maior?,olist
,2019-12-30 02:08:26,2019-12-30 10:17:30,Anonimizado LGPD,Anonimizado LGPD,product,closed,"bom dia, o controle suporta PC? (Uso Windows 10) É necessário baixar algum driver para o controle poder funcionar ou é só conectar pelo USB e ele é reconhecido normalmente?",olist
,2019-12-30 02:09:03,2019-12-30 16:02:44,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Olá,  tirando o peso, eu gostaria de saber qual desses carrinhos é menor quando aberto,  o OHLALA ou o UP ?? Estou em dúvida qual comprar.",olist
,2019-12-30 02:11:45,2019-12-30 09:57:17,Anonimizado LGPD,Anonimizado LGPD,product,closed,Eu n sei meu cep mas se ajudar moro me Santos,olist
,2019-12-30 02:13:28,2019-12-30 07:38:08,Anonimizado LGPD,Anonimizado LGPD,product,closed,"ola,bom dia,essa frontal vem com brilho,ou tem ajuste de brilho??? obg/",olist
,2019-12-30 02:19:46,2019-12-30 10:54:51,Anonimizado LGPD,Anonimizado LGPD,product,closed,Suporta i7 3630qm ?,olist
,2019-12-30 02:27:58,2019-12-30 09:35:20,Anonimizado LGPD,Anonimizado LGPD,product,closed,Qual o mês e o ano da validade?,olist
,2019-12-30 02:28:14,2019-12-30 09:35:34,Anonimizado LGPD,Anonimizado LGPD,product,closed,Qual o mês e o ano da validade?,olist
,2019-12-30 02:37:48,2019-12-30 02:37:48,Anonimizado LGPD,Anonimizado LGPD,product,created,Eu ja paguei o boleto quando chega o.meu relogio,olist
,2019-12-30 02:42:16,2019-12-30 10:08:35,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Bom dia , tem esse quadro no tamanho de 1,80 por 90 , e qual o valor ¿",olist
,2019-12-30 02:43:49,2020-01-23 10:56:46,Anonimizado LGPD,Anonimizado LGPD,product,closed,Tem algum colateral?,olist
,2019-12-30 02:48:59,2019-12-30 13:30:04,Anonimizado LGPD,Anonimizado LGPD,product,closed,Fu ciona em qualquer aparelho selular,olist
,2019-12-30 02:49:49,2019-12-30 13:30:20,Anonimizado LGPD,Anonimizado LGPD,product,closed,Da de por selular HDMI para usar motor ou tv com moto G7 play pois ele tem USB tipo c,olist
,2019-12-30 02:54:07,2019-12-30 11:58:57,Anonimizado LGPD,Anonimizado LGPD,product,closed,Vc tem a pronta entrega esse produto.,olist
,2019-12-30 02:55:52,2019-12-30 09:57:45,Anonimizado LGPD,Anonimizado LGPD,product,closed,Ola,olist
,2019-12-30 02:56:00,2019-12-30 09:56:47,Anonimizado LGPD,Anonimizado LGPD,product,closed,Ainda tem?,olist
,2019-12-30 02:56:26,2019-12-30 09:57:25,Anonimizado LGPD,Anonimizado LGPD,product,closed,Dá pra botar quantas balas?,olist
,2019-12-30 03:03:56,2019-12-30 09:01:17,Anonimizado LGPD,Anonimizado LGPD,product,closed,Qual medida do colchao que vcs recomendam para esse berco ?,olist
,2019-12-30 03:06:58,2019-12-30 07:53:16,Anonimizado LGPD,Anonimizado LGPD,product,closed,Ele é compativel a iphone ?,olist
,2019-12-30 03:12:44,2020-01-06 08:57:55,Anonimizado LGPD,Anonimizado LGPD,product,closed,Faz as 10 frete grátis para 78075-905 que eu compro,olist
,2019-12-30 03:15:28,2019-12-30 11:30:40,Anonimizado LGPD,Anonimizado LGPD,product,closed,Não vem com saco de malha?,olist
,2019-12-30 03:17:20,2019-12-30 07:53:43,Anonimizado LGPD,Anonimizado LGPD,product,closed,Esse relogio e compativel com iphone? Ele recebe mensagem e ligaçao?,olist
,2019-12-30 03:36:15,2020-01-02 14:53:18,Anonimizado LGPD,Anonimizado LGPD,product,closed,Tem em pronta entrega? Quais cores disponíveis?,olist
,2019-12-30 03:40:07,2019-12-30 09:15:32,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Amigo comprei uma película com você do Moto One Action e gostaria de saber se é possível trocar pela película do Samsung A10 , por favor !?",olist
,2019-12-30 03:41:12,2019-12-30 09:15:41,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Do jeito que veio ela está , a caixa não foi nem aberta , se for possível , agradeço desde já !?",olist
,2019-12-30 03:50:00,2019-12-30 10:50:32,Anonimizado LGPD,Anonimizado LGPD,product,closed,Vem os dois pares de aro,olist
,2019-12-30 03:54:22,2019-12-30 09:15:24,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Comprei um celular Moto One Action e acabei trocando por um Samsung A10 e gostaria de te pedir um favor , teria como você trocar pela película do Samsung A10 , do jeito que veio , a caixa está , não foi aberta , se possível fazer a troca , desde já agradeço !?",olist
,2019-12-30 03:55:51,2019-12-30 09:15:47,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Comprei um celular Moto One Action e acabei trocando por um Samsung A10 e gostaria de te pedir um favor , teria como você trocar pela película do Samsung A10 , do jeito que veio , a caixa está , não foi aberta , se possível fazer a troca , desde já agradeço !?",olist
,2019-12-30 03:58:00,2020-01-09 11:16:32,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Olá, 110 v não tem?",olist
,2019-12-30 04:12:04,2019-12-30 09:36:55,Anonimizado LGPD,Anonimizado LGPD,product,closed,Tem assistência técnica em todo Brasil?,olist
,2019-12-30 04:18:17,2019-12-30 09:58:00,Anonimizado LGPD,Anonimizado LGPD,product,closed,Minha bb tem 6  meses daria pra regular?,olist
,2019-12-30 04:19:36,2020-01-02 12:20:21,Anonimizado LGPD,Anonimizado LGPD,product,closed,Bom dia. Qual a data de validade mais próxima dos reagentes? Obrigado!,olist
,2019-12-30 04:20:58,2019-12-30 04:20:58,Anonimizado LGPD,Anonimizado LGPD,product,created,"O console tem Pokemon Ruby, Green ou Platinum?",olist
,2019-12-30 04:26:17,2019-12-30 07:39:08,Anonimizado LGPD,Anonimizado LGPD,product,closed,Ainda tem ela a pronta entrega ?,olist
,2019-12-30 04:26:24,2020-01-02 17:38:17,Anonimizado LGPD,Anonimizado LGPD,product,closed,ainda tem?,olist
,2019-12-30 04:33:36,2019-12-30 08:53:04,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Olá amigos, bom dia. Por efeito de comparação, o que torna o Edifier W830bt superior aos seus antecessores W820bt e W800bt..?",olist
,2019-12-30 04:34:53,2019-12-30 07:39:05,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Bom dia! O meu moto C e XT1758, esta tela se aplica neste modelo?",olist
,2019-12-30 05:01:25,2019-12-30 15:57:43,Anonimizado LGPD,Anonimizado LGPD,product,closed,este mouse serve p qualquer note com entrada usb e dispensa pilhas,olist
,2019-12-30 05:06:10,2020-01-03 11:53:27,Anonimizado LGPD,Anonimizado LGPD,product,closed,Tem adulto?,olist
,2019-12-30 05:23:08,2020-01-08 09:02:09,Anonimizado LGPD,Anonimizado LGPD,product,closed,"Fiz a compra depois perguntei se era de teflom por dentro, perguntei duas vezes e não tive resposta, estou no aguardo, pêlo contrário não tico  com o produto.",olist
