,body,classe
0,não é possível só vai até cinco,1
1,O envio seria por qual loja? Corpo perfeito?,1
2,Funciona na central ecp max cell 4 gdm?,1
3,quanto fica 45 metros?,1
4,Olá tem número 18,1
5,Serve na xre 15/15 ?,1
6,acompanha cabo extensor?,1
7,Tem na cor azul,1
8,"Boa noite, o cooler funciona através de cabo usb no celular? Qual é o consumo em relação a bateria do telefone?",1
9,Tem kit sem a milha ?,1
10,"Acabei de comprar seis canecas e pedi película correio,  porém se estiver na cidade de são. Paulo  retiro amanhã",1
11,Disponivel,1
12,tem branco?,1
13,Manda um link obrigado,1
14,Quanto fica pada o CEP: 35.030-070,1
15,Esse é aquele óleo MULTIVISCOSO SAE API-SF que vem nos manuais da Honda?,1
16,Você emite nota fiscal?,1
17,Qual frequência em MHz?,1
18,Boa noite! Teria esse modelo com a lente verde no mesmo valor?,1
19,Tem branco com cinza?,1
20,Tem para mesa de 80cm,1
21,Entre o cabo e a coletora é de encaixe? Eu digo existe uma separação? Solta?,1
22,Qual a duração da bateria?,1
23,Boa noite! Qual a data de validade desse remedio?,1
24,Tem o produto em estoque?,1
25,Gostaria de saber se vocês tem para tamanho de portA padrão.,1
26,"Boa noite senhores, qual o valor do envio para o cep 21831505. Obrigada",1
27,Compensa são boas ? Da pra revender a quantos cada uma.,1
28,Posso colocar no mar?,1
29,Onde fica a sua loja? posso comprar pelo mercado livre e retirar?,1
30,Boa noite. Tem como usar como emissão Bluetooth na TV??.  Ou seja...Transmitir o som da TV para um Fone Bluetooth ??!,1
31,ola amigo nao tem ele a 1500rms 8ohms pra tocar apenas um falante de 8ohms,1
32,"O selo de papel resinado é biodegradável?  É possível usar selos de celofane? aguardo, obrigada",1
33,Olá. Pq não entregam em Porto Alegre?,1
34,Posso colocar no mar?,1
35,é primeira linha brasileira ou chinesa? vem conforma foto  funciona o filtro azul,1
36,"Bom dia, pronta entrega???",1
37,Vcs teriam esse com Windows 10?,1
38,A data de fabricação é...?,1
39,Boa noite tem dele 220v ? por gentileza obrigado,1
40,Quanto vc faz 3 para o CEP 72930000.,1
41,É original?,1
42,"Produto original, lacrado e NF? Obg",1
43,E.prova.da.agua,1
44,Tem verde agua?,1
45,Boa noite! Produto ainda em estoque?,1
46,Nossa senhora o frete é metade do valor do produto!!! Vocês estão onde na China?,1
47,Não está específico o que vem se é os de fora e de dentro ou só os de fora,1
48,"Meu carro é turbo, rem como instalar esse kit ?",1
49,por acaso vc nao tem o outro também em vermelho e cinza?,1
0,Este álcool gel e de 5 litros ? Cai na real estão explorando o próximo aqui tem de 500 ml de 9 reais.,0
1,"É pelo visto vocês não estão nem ai pra devolver os 31,85 na minha conta já passei todos os dados e se até terça feira vocês não depositar vou devolver os álcool em gel por que isso é um descaso com uma pessoa idosa com mas de 65 anos",0
2,Eu não recebi o produto. Mas recebi uma notificação do Mercado Livre informando que vocês deram por entregue. Que absurdo!!!,0
3,Comprei e nunca recebi! Já se passaram um mês,0
4,"Olá, comprei o produto com postagem em 11/04 até hoje não recebi minha compra, está faltando boa vontade da empresa em resolver o problema.",0
5,Como e a tampa Flip top. Já comprei de vc. Mas veio com bico dosador.,0
6,"Estou esperando o estorno dos R$=31,85,já enviei o número da minha conta e até agora nada",0
7,Horrível,0
8,AGR PRA JECA PRA TODOS ¿¿¿¿,0
9,Fiz una encomenda de 3 garrafas e gel. Após enrolarem 2 semanas fui informado que não havia stock e cancelaram a compra. Péssimo serviço,0
10,"Oi eu devolvi o Produto e vcs já receberam , mas não fui informado sobre a Devolução do Valor .",0
11,Procon cuidado,0
12,"Como você pode ver, pelo número de rastreamento, o objeto já foi entregue ao destinatário, vendedor, dia 28, ontem. Já foi devolvido e o meu dinheiro continua retido. PM692578567BR",0
13,Meu dinheiro que paguwi acool gel nao receb,0
14,O produto caso eu comprar demora chegar,0
15,Eu Raimundo Samuel comprei três álcool e uma jaqueta slin couro e ñ recebi o produto é não fui restituído ó valor vou procurar o Procon,0
16,Vou tomar minhas providências,0
17,Boa noite vcs do mercado livre e assim eu Raimundo Samuel comprei três álcool e uma jaqueta slin couro e ñ recebi o produto é não fui ressarcido é à assim,0
18,Lindo preço seu ridículo.,0
19,"concordo plenamente ,infelizmente o mercado livre apoia estes tipos de vendedores",0
20,NAO TEM RESPEITO AO CONSUMIDOR,0
21,GOLPISTAS BANDIDOS,0
22,Como assim abrir um chamado? Poderia me explicar?,0
23,Eu também quero deixar registrado que o produto chegou faz tres dias... Porém ainda continua como se o produto estivesse a caminho. A cor e a textura são exatamente como todos que já comprei anteriormente nas farmácias... Exatamente como está na foto.,0
24,"Venho deixar meu relato, recebi hoje e o produto não é amarelado. Ele possui coloração e textura muito boa. Inclusive recebi o reembolso do ML e desejo pagar pelas 2 unidades que recebi. A única diferença foi a tampa que não veio conforme a foto, mas já substitui por outra que tinha aqui. Vendedor, me responda seu email para reembolsar a compra.",0
25,"Produto horrível.... tem uma textura pegajosa, difícil de sair da mão, acumula sujeira, cor diferente do anúncio e tem cheiro forte .... Não recomendo.... Além de ser super difícil de negociar caso queira devolver...",0
26,"NÃO COMPREM DESSE VENDEDOR... PRODUTO DE PÉSSIMA QUALIDADE, APARÊNCIA AMARELADA, ESPUMA MAS MÃOS,PRAZO DE VALIDADE CURTO. ENFIM,PRODUTO SUSPEITO. TIREI APENAS UMA AMOSTRA PARA UM AMIGO FAZER UM TESTE EM LABORATÓRIO E O RESTO JOGUEI FORA.",0
27,"Estou aguardando a resposta sua para poder receber o estorno da minha compra,se até segunda feira vocês não falar nada sobre os R$=28,35 Vou devolver o produto",0
28,"Não gostei do produto, muito amarelo, parece ser feito com. Cachaça, pq o cheiro e muito forte, diferente do outro gel que tenho aqui que e transparente e inodoro",0
29,Produto ruim!,0
30,"Já abrir a reclamação, é que demora é essa em devolver? Ta esperando o que? Já tem mais de 1 semana que não me devolve",0
31,VENDEDOR NÃO CUMPRE COM PRAZOS E ENVIA PRODUTO SEM QUALIDADE! NÃO COMPREM,0
32,"Ola, Fiz a compra de 2 gostaria de saber se tem função de chip. caso não. preciso que cancele minha compra",0
33,E de praxe a pernambucanas. Cancelar a compra e nao dar a minima para o consumidor?,0
34,"Porque vcs ,sao sem respeito pelo consumidor depois da compra fechada cancelam o negocio e nao dao a menor satinfacao ; continuem assim a concorrencia. Ama.",0
35,Como vender um produto e não saber a fundo do produto q vende O q representa para vcs 4G???,0
36,Uma loja com mais 29 mil vendas não pode ser uma loja falsa. Não sejam mesquinhos!,0
37,Eles nao presta um bom atendimento Comprei o produtonao responde o produto so fica em envio pendente,0
38,Rapaz comprei faz 4 dia eles nao manda meu produto,0
39,Meu dinheiro de volta,0
40,"Quero meio dinheiro de volta, ok",0
41,"Boom dia, eu comprei um notebook e fiz o pagamento através desse número de WhatsApp que vc envia no anúncio, 1 4 9 9 6 3 6-1 9 1 0, paguei 1.200,00 num Notebook e depois que fiz o pagamento vc me bloqueou, gostaria de saber como vai me devolver meu dinheiro",0
42,"gente, alguem me indica uma delegacia virtual, pois iiso é uma fraude, cair num golpe. olá vendedor, um amigo meu comprou esse produto com voces semana passada com desconto de 20% boleto,",0
43,"CALOTEIROS vocês estão com minha compra parada a uma semana porque eu comprei o notebook por 1700,00. Agora vocês nem me mandão o notebook e muito menos cancelão a compra. Pessoal, comprem de outro site!!!",0
44,Como Cancelar um item,0
45,"Bom dia eu comprei um moto g8 e o prazo era dia 28 e não foi postado até então, e fiz o cancelamento por favor preciso do estorno",0
0,o celular é otimo mas a porra da bateria nao presta,0
1,vendedor filho da puta nao responde,0
2,vendedor burro,0
3,carai esse vendedor nao responde,0
4,pessoal isso é um golpe porra,0
5,preço absurdo do carai,0
6,esses filhos da puta nao me responde,0
7,esses fdp tao roubando o pessoal,0
8,mizera de site que nao funciona,0
9,produto mzr,0
10,esse produto é menor que meu pau,0
11,esse vendedor merece é uma rola,0
12,que vendedor buceta,0
13,vou matar o pai desse cara,0
14,caralho que preço absurdo,0
15,vou socar no teu anus,0
16,esses cliente baba-ovo,0
17,so tem babaovo aqui,0
18,que vendedor babaca,0
19,esse vendedor é baitola,0
20,vendedor bebum,0
21,vendedor besta,0
22,esse vendedr é bixa,0
23,vendedor boceta,0
24,esse vendedor é boco,0
25,vendedor boiola,0
26,vendedor bolagato,0
27,esse vendedor faz boquete no gato,0
28,vendedor bosta,0
29,vendedor bosta,0
30,esse vendedor da o brioco,0
31,vai tocar uma bronha,0
32,esse vendedor da a bunda,0
33,sua cachorra,0
34,seu cagao,0
35,esse vendedor é um canalha,0
36,cassete que preco absurdo,0
37,esse vendedor é chifrudo,0
38,ta mais barato comprar cocaina,0
39,o corno desse vendedor nao responde,0
40,essa empresa é corrupta,0
41,bando de vendedor cretino,0
42,vendedor cuzao,0
43,esse vendedor é debil,0
44,vendedor debiloide,0
45,DEMONIO responde,0
46,eles tao doido colocando esse preço,0
47,vendedor escroto falando essas coisas,0
48,essa fragancia é fedorenta,0
49,moldura feia,0
50,esse carro é fedido,0
51,atriz feioza,0
52,que atriz feiosa,0
53,esse carro ta todo fodido,0
54,essa moto ta fodida,0
55,a foto parece que ta fudendo,0
56,vendedor gaiato,0
57,o ator parece ser gay,0
58,esses produtos tao tudo com gonorrea,0
59,esse greme é muito gosmento,0
60,seus idiotas,0
61,empresa so tem homo-sexual,0
62,vendedor imbecil,0
63,seus iscroto,0
64,bando de ladrao,0
65,seu macaco tem nem respeito,0
66,essa merda nao funciona no meu pc,0
67,sua mocreia,0
68,produto nojento parece merda,0
69,so tem vendedor otario,0
70,socar um penis em tu,0
71,e esse pentelhos que voces colocaram no pente,0
72,vou te meter uma pica,0
73,vou arrancar tuas prega,0
74,isso parece mais um prostibulo,0
75,esse vendedor ta é batendo uma punheta nao responde ninguem,0
76,faz tres dias que o vendedor nao responde deve ta no punhetao,0
77,essas putas nao responde,0
78,a atriz tem um rabao,0
79,que rabo é esse da atriz em,0
80,vendedor queima a rosca,0
81,so tem sapatao,0
82,essa vendedora ta é na siririca nao responde ninguem,0
83,vendedor trouxa,0
84,bando de vagabundo nao presta um servico direito,0
85,esses viado nao responde,0
